"","fragment_ID","micromol.cm2.h","Treatment","Genotype","Species","Timepoint","measure"
"144","MD-1-20",0.19169249297116,"pH","1","MD","TP2","Photo"
"145","MD-1-21",0.0264985057338258,"Heat","1","MD","TP2","Photo"
"146","MD-1-21",0.0264985057338258,"Heat","1","MD","TP2","Photo"
"147","MD-1-21",0.0264985057338258,"Heat","1","MD","TP2","Photo"
"148","MD-1-22",0.0576849989080611,"Heat","1","MD","TP2","Photo"
"149","MD-1-22",0.0576849989080611,"Heat","1","MD","TP2","Photo"
"150","MD-1-22",0.0576849989080611,"Heat","1","MD","TP2","Photo"
"151","MD-1-24",0.142062938720718,"Control","1","MD","TP2","Photo"
"152","MD-1-24",0.142062938720718,"Control","1","MD","TP2","Photo"
"153","MD-1-3",0.353223672629262,"Control","1","MD","TP2","Photo"
"154","MD-1-3",0.353223672629262,"Control","1","MD","TP2","Photo"
"155","MD-1-5",0.144815148930765,"Heat","1","MD","TP2","Photo"
"156","MD-1-6",-0.0649634909727637,"pH","1","MD","TP2","Photo"
"157","MD-1-6",-0.0649634909727637,"pH","1","MD","TP2","Photo"
"158","MD-1-6",-0.0649634909727637,"pH","1","MD","TP2","Photo"
"159","MD-2-1",0.153683434406481,"Heat","2","MD","TP2","Photo"
"160","MD-2-10",0.310297477611147,"pH","2","MD","TP2","Photo"
"161","MD-2-10",0.310297477611147,"pH","2","MD","TP2","Photo"
"162","MD-2-12",0.105358744413476,"Heat","2","MD","TP2","Photo"
"163","MD-2-12",0.105358744413476,"Heat","2","MD","TP2","Photo"
"164","MD-2-12",0.105358744413476,"Heat","2","MD","TP2","Photo"
"165","MD-2-15",-0.0236060782011069,"Control","2","MD","TP2","Photo"
"166","MD-2-17",0.231221941345294,"pH","2","MD","TP2","Photo"
"167","MD-2-17",0.231221941345294,"pH","2","MD","TP2","Photo"
"168","MD-2-20",0.0358418764828141,"pH","2","MD","TP2","Photo"
"169","MD-2-20",0.0358418764828141,"pH","2","MD","TP2","Photo"
"170","MD-2-20",0.0358418764828141,"pH","2","MD","TP2","Photo"
"171","MD-2-20",0.0358418764828141,"pH","2","MD","TP2","Photo"
"172","MD-2-22",0.356808965454072,"Control","2","MD","TP2","Photo"
"173","MD-2-22",0.356808965454072,"Control","2","MD","TP2","Photo"
"174","MD-2-23",0.215104416806722,"pH","2","MD","TP2","Photo"
"175","MD-2-23",0.215104416806722,"pH","2","MD","TP2","Photo"
"176","MD-2-23",0.156573140958708,"pH","2","MD","TP2","Photo"
"177","MD-2-23",0.156573140958708,"pH","2","MD","TP2","Photo"
"178","MD-2-23",0.191423247474119,"pH","2","MD","TP2","Photo"
"179","MD-2-23",0.191423247474119,"pH","2","MD","TP2","Photo"
"180","MD-2-23",0.132891971626105,"pH","2","MD","TP2","Photo"
"181","MD-2-23",0.132891971626105,"pH","2","MD","TP2","Photo"
"182","MD-2-24",0.0758217248362896,"Control","2","MD","TP2","Photo"
"183","MD-2-24",0.0758217248362896,"Control","2","MD","TP2","Photo"
"184","MD-2-25",0.028969019305019,"pH","2","MD","TP2","Photo"
"185","MD-2-25",0.028969019305019,"pH","2","MD","TP2","Photo"
"186","MD-2-25",0.028969019305019,"pH","2","MD","TP2","Photo"
"187","MD-2-3",0.0808475855290144,"Heat","2","MD","TP2","Photo"
"188","MD-2-3",0.0808475855290144,"Heat","2","MD","TP2","Photo"
"189","MD-2-4",0.206178038642375,"Heat","2","MD","TP2","Photo"
"190","MD-2-4",0.206178038642375,"Heat","2","MD","TP2","Photo"
"191","MD-2-5",0.188583816029945,"Control","2","MD","TP2","Photo"
"192","MD-2-5",0.188583816029945,"Control","2","MD","TP2","Photo"
"193","MD-2-6",0.120538355084039,"Control","2","MD","TP2","Photo"
"194","MD-2-6",0.120538355084039,"Control","2","MD","TP2","Photo"
"195","MD-2-8",0.127204731266159,"Control","2","MD","TP2","Photo"
"196","MD-4-1",0.30193998283334,"Control","4","MD","TP2","Photo"
"197","MD-4-1",0.30193998283334,"Control","4","MD","TP2","Photo"
"198","MD-4-10",0.109691929882481,"Control","4","MD","TP2","Photo"
"199","MD-4-10",0.109691929882481,"Control","4","MD","TP2","Photo"
"200","MD-4-11",0.161137771011056,"Heat","4","MD","TP2","Photo"
"201","MD-4-13",0.237217154267516,"Control","4","MD","TP2","Photo"
"202","MD-4-13",0.237217154267516,"Control","4","MD","TP2","Photo"
"203","MD-4-17",0.362641165371805,"Control","4","MD","TP2","Photo"
"204","MD-4-18",0.0868588923158155,"Heat","4","MD","TP2","Photo"
"205","MD-4-18",0.0868588923158155,"Heat","4","MD","TP2","Photo"
"206","MD-4-18",0.0868588923158155,"Heat","4","MD","TP2","Photo"
"207","MD-4-19",0.0507063161773637,"Control","4","MD","TP2","Photo"
"208","MD-4-19",0.0507063161773637,"Control","4","MD","TP2","Photo"
"209","MD-4-2",0.0661289594976454,"Control","4","MD","TP2","Photo"
"210","MD-4-2",0.0661289594976454,"Control","4","MD","TP2","Photo"
"211","MD-4-22",0.158973765821715,"pH","4","MD","TP2","Photo"
"212","MD-4-22",0.158973765821715,"pH","4","MD","TP2","Photo"
"213","MD-4-23",0.00225185988381619,"Heat","4","MD","TP2","Photo"
"214","MD-4-23",0.00225185988381619,"Heat","4","MD","TP2","Photo"
"215","MD-4-25",0.0568197479369787,"pH","4","MD","TP2","Photo"
"216","MD-4-25",0.0568197479369787,"pH","4","MD","TP2","Photo"
"217","MD-4-4",-0.0212785037423255,"Heat","4","MD","TP2","Photo"
"218","MD-4-5",-0.0540380983071018,"pH","4","MD","TP2","Photo"
"219","MD-4-5",-0.0540380983071018,"pH","4","MD","TP2","Photo"
"220","MD-4-5",-0.0540380983071018,"pH","4","MD","TP2","Photo"
"221","MD-4-5",-0.0540380983071018,"pH","4","MD","TP2","Photo"
"222","MD-4-6",0.155620308538251,"Heat","4","MD","TP2","Photo"
"223","MD-4-7",0.096558688167155,"Heat","4","MD","TP2","Photo"
"224","MD-4-9",0.114736456537432,"pH","4","MD","TP2","Photo"
"225","MD-5-10",0.148702482297527,"Heat","5","MD","TP2","Photo"
"226","MD-5-10",0.148702482297527,"Heat","5","MD","TP2","Photo"
"227","MD-5-10",0.148702482297527,"Heat","5","MD","TP2","Photo"
"228","MD-5-11",0.0889862920962852,"Heat","5","MD","TP2","Photo"
"229","MD-5-11",0.0889862920962852,"Heat","5","MD","TP2","Photo"
"230","MD-5-11",0.0889862920962852,"Heat","5","MD","TP2","Photo"
"231","MD-5-14",0.565265359546114,"Control","5","MD","TP2","Photo"
"232","MD-5-14",0.565265359546114,"Control","5","MD","TP2","Photo"
"233","MD-5-15",0.321012260793967,"Heat","5","MD","TP2","Photo"
"234","MD-5-16",0.140651697478987,"Heat","5","MD","TP2","Photo"
"235","MD-5-20",0.0713050926216579,"Heat","5","MD","TP2","Photo"
"236","MD-5-20",0.0713050926216579,"Heat","5","MD","TP2","Photo"
"237","MD-5-20",0.0713050926216579,"Heat","5","MD","TP2","Photo"
"238","MD-5-21",0.12295422950929,"Control","5","MD","TP2","Photo"
"239","MD-5-21",0.12295422950929,"Control","5","MD","TP2","Photo"
"240","MD-5-22",0.173008182282054,"pH","5","MD","TP2","Photo"
"241","MD-5-24",0.0874014893112105,"Control","5","MD","TP2","Photo"
"242","MD-5-25",0.0243624014749789,"pH","5","MD","TP2","Photo"
"243","MD-5-25",0.0243624014749789,"pH","5","MD","TP2","Photo"
"244","MD-5-25",0.0243624014749789,"pH","5","MD","TP2","Photo"
"245","MD-5-5",0.363706263829002,"Control","5","MD","TP2","Photo"
"246","MD-5-8",0.121823961765917,"Heat","5","MD","TP2","Photo"
"247","MD-5-9",0.365346458368216,"Control","5","MD","TP2","Photo"
"248","MD-5-9",0.365346458368216,"Control","5","MD","TP2","Photo"
