Colony_id,surface.area.cm2,Sample_date,Tank
MD-5-25,24.467092867565242,20240815,2
MD-1-21,23.648787748107104,20240806,6
MD-2 ,20.428532002925834,20240620,start of acclimation
MD-4-17,21.768539738996346,20240815,4
MD-1-18,26.982917668488064,20240815,3
DL-2-6,22.173719943776504,20240709,acclimation
MD-5-14,8.458502423798198,20240723,4
DL-1-1,25.436347475078676,20240806,3
MD-5-6,20.770154528524877,20240806,5
DL-1-23,38.16642096774819,20240806,6
MD-5-15,22.745739056407466,20240806,6
DL-3-20,35.56850083,20240806,7
MD-4-3,12.58975157057684,20240815,6
DL-3-26,26.299672617290064,20240723,6
DL-4-8,32.71634997795962,20240709,acclimation
MD-5-18,21.28656067187213,20240815,4
MD-4-18,18.731012321461094,20240806,7
DL-1-5,23.839460785650758,20240806,7
MD-5-5,22.348503561524893,20240723,5
MD-5-10,17.711441217929178,20240806,7
DL-2-15,48.068177736854096,20240723,6
DL-4-21,23.52696886300979,20240806,5
DL-3-23,20.55564736128828,20240709,acclimation
DL-1-8,31.23333746373138,20240723,5
MD-2-26,24.99674019,20240815,7
DL-4-20,28.132252367014978,20240806,6
DL-4-15,28.83138683800815,20240815,6
MD-4-12,8.861034391945857,20240723,3
MD-1-12,18.847534733293273,20240815,7
DL-1-9,27.086198897157473,20240723,6
MD-1-3,15.804710842492932,20240723,4
DL-3,23.214476940368918,20240620,start of acclimation
DL-4-3,31.786818919934348,20240815,5
DL-1-2,23.582581832293315,20240709,acclimation
DL-4-2,31.744447133813637,20240815,4
MD-1-19,4.626504016497796,20240723,5
DL-2-28,33.25659025099995,20240815,5
DL-1,36.296765905167746,20240620,start of acclimation
DL-2,34.06165418729527,20240620,start of acclimation
MD-5-19,13.275644858407341,20240815,4
