Sample.ID,Treatment.Tank,Inital.Treament,Secondary.Treatment,Date.Sampled,Date_extraction,Date_prep,Initials,RNA_ng_ul_avg,RNA volume input for 12 ng (uL),DNAse free water volume (uL),Total start vol (uL),Total RNA input (ng),Library concentration (ng/uL),Library bp peak,Library volume (uL),Primer,Notebook post,Notes
MD-2-4,Tank_6,High_Temp,NONE,20240723,20250523,20250618,JA,10.5,1.142857143,3.857142857,5,12,2.72,464,15,68,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-18-Zymo-SwitchFree_ENCORE-Priming.md,FF did this sample on 6/17/2025 and it failed 
MD-2-10,Tank_3,Low_pH,NONE,20240806,20250528,20250618,JA,10.6,1.132075472,3.867924528,5,12,3.45,405,15,69,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-18-Zymo-SwitchFree_ENCORE-Priming.md,FF did this sample on 6/17/2025 and it failed 
MD-4-5,Tank_2,Low_pH,NONE,20240806,20250527,20250618,JA,41.7,0.2877697842,4.712230216,5,12,1.49,494,15,70,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-18-Zymo-SwitchFree_ENCORE-Priming.md,
MD-2-2,Tank_2,Low_pH,NONE,20240806,20250528,20250618,JA,10.4,1.153846154,3.846153846,5,12,2.32,410,15,71,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-18-Zymo-SwitchFree_ENCORE-Priming.md,FF did this sample on 6/17/2025 and it failed 
MD-1-8,Tank_3,Low_pH,NONE,20240806,20250529,20250619,FF,23.5,0.5106382979,4.489361702,5,12,9.56,425,20,72,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-19-ENCORE-Priming-Library-Prep.md,
MD-2-7,Tank_7,High_Temp,Control,20240815,20250603,20250619,FF,4.6,2.608695652,2.391304348,5,12,11.8,436,20,73,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-19-ENCORE-Priming-Library-Prep.md,
MD-2-3,Tank_6,High_Temp,High_Temp,20240815,20250531,20250619,FF,14.8,0.8108108108,4.189189189,5,12,6.99,434,20,75,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-19-ENCORE-Priming-Library-Prep.md,
MD-5-11,Tank_6,High_Temp,High_Temp,20240815,20250531,20250619,FF,16.5,0.7272727273,4.272727273,5,12,8.15,438,20,76,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-19-ENCORE-Priming-Library-Prep.md,
MD-2-13,Tank_6,High_Temp,High_Temp,20240815,20250531,20250619,FF,6.55,1.832061069,3.167938931,5,12,5.59,448,20,77,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-19-ENCORE-Priming-Library-Prep.md,
MD-4-25,Tank_3,Low_pH,NONE,20240806,20250529,20250624,JA/NC,18.3,0.6557377049,4.344262295,5,12,6.35,440,15,77,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-24-Zymo-SwitchFree_ENCORE-Priming.md,
MD-4-7,Tank_6,High_Temp,High_Temp,20240815,20250531,20250619,FF,12.9,0.9302325581,4.069767442,5,12,7.75,454,20,78,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-19-ENCORE-Priming-Library-Prep.md,
MD-1-10,Tank_3,Low_pH,Control,20240815,20250526,20250624,JA/NC,11.1,1.081081081,3.918918919,5,12,4.03,462,15,78,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-24-Zymo-SwitchFree_ENCORE-Priming.md,JA did this sample on 6/16/2025 but had multiple peaks https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-16-Zymo-SwitchFree_ENCORE-Priming.md
MD-2-19,Tank_4,Control,High_Temp,20240815,20250531,20250619,FF,28.7,0.4181184669,4.581881533,5,12,5.19,469,20,79,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-19-ENCORE-Priming-Library-Prep.md,
MD-1-17,Tank_6,High_Temp,High_Temp,20240815,20250530,20250624,JA/NC,16.7,0.7185628743,4.281437126,5,12,2.02,466,15,79,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-24-Zymo-SwitchFree_ENCORE-Priming.md,
