Species,Genotype,Replicate,Zip.Color,Sample.ID,Treatment.Tank,Inital.Treament,Secondary.Treatment,Date.Sampled,Replicate.Number,Timepoint
Madracis decactis,1,2,Black,MD-1-2,Tank_4,Control,NONE,20240806,R1,TP3
Madracis decactis,2,15,Yellow,MD-2-15,Tank_4,Control,NONE,20240806,R1,TP3
Madracis decactis,2,8,Yellow,MD-2-8,Tank_5,Control,NONE,20240806,R2,TP3
Madracis decactis,3,19,Green,MD-4-19,Tank_4,Control,NONE,20240806,R1,TP3
Madracis decactis,3,20,Green,MD-4-20,Tank_5,Control,NONE,20240806,R2,TP3
Madracis decactis,4,24,Red,MD-5-24,Tank_4,Control,NONE,20240806,R1,TP3
Madracis decactis,4,6,Red,MD-5-6,Tank_5,Control,NONE,20240806,R2,TP3
Madracis decactis,1,21,Black,MD-1-21,Tank_6,High_Temp,NONE,20240806,R2,TP3
Madracis decactis,1,22,Black,MD-1-22,Tank_7,High_Temp,NONE,20240806,R1,TP3
Madracis decactis,2,12,Yellow,MD-2-12,Tank_7,High_Temp,NONE,20240806,R1,TP3
Madracis decactis,2,14,Yellow,MD-2-14,Tank_6,High_Temp,NONE,20240806,R2,TP3
Madracis decactis,3,18,Green,MD-4-18,Tank_7,High_Temp,NONE,20240806,R1,TP3
Madracis decactis,3,23,Green,MD-4-23,Tank_6,High_Temp,NONE,20240806,R2,TP3
Madracis decactis,4,10,Red,MD-5-10,Tank_7,High_Temp,NONE,20240806,R1,TP3
Madracis decactis,4,15,Red,MD-5-15,Tank_6,High_Temp,NONE,20240806,R2,TP3
Madracis decactis,1,6,Black,MD-1-6,Tank_2,Low_pH,NONE,20240806,R2,TP3
Madracis decactis,1,8,Black,MD-1-8,Tank_3,Low_pH,NONE,20240806,R1,TP3
Madracis decactis,2,10,Yellow,MD-2-10,Tank_3,Low_pH,NONE,20240806,R1,TP3
Madracis decactis,2,2,Yellow,MD-2-2,Tank_2,Low_pH,NONE,20240806,R2,TP3
Madracis decactis,3,25,Green,MD-4-25,Tank_3,Low_pH,NONE,20240806,R1,TP3
Madracis decactis,3,5,Green,MD-4-5,Tank_2,Low_pH,NONE,20240806,R2,TP3
Madracis decactis,4,1,Red,MD-5-1,Tank_2,Low_pH,NONE,20240806,R2,TP3
Madracis decactis,4,13,Red,MD-5-13,Tank_3,Low_pH,NONE,20240806,R1,TP3
Madracis decactis,1,24,Black,MD-1-24,Tank_5,Control,Control,20240815,R2,TP4
Madracis decactis,1,25,Black,MD-1-25,Tank_4,Control,High_Temp,20240815,R2,TP4
Madracis decactis,1,7,Black,MD-1-7,Tank_4,Control,High_Temp,20240815,R2,TP4
Madracis decactis,1,9,Black,MD-1-9,Tank_5,Control,Control,20240815,R1,TP4
Madracis decactis,2,18,Yellow,MD-2-18,Tank_5,Control,Control,20240815,R2,TP4
Madracis decactis,2,19,Yellow,MD-2-19,Tank_4,Control,High_Temp,20240815,R2,TP4
Madracis decactis,2,24,Yellow,MD-2-24,Tank_4,Control,High_Temp,20240815,R2,TP4
Madracis decactis,2,6,Yellow,MD-2-6,Tank_5,Control,Control,20240815,R1,TP4
Madracis decactis,3,10,Green,MD-4-10,Tank_4,Control,High_Temp,20240815,R2,TP3
Madracis decactis,3,17,Green,MD-4-17,Tank_4,Control,High_Temp,20240815,R2,TP4
