Species,Genotype,Replicate,Zip.Color,Sample.id,Acclimation.Tank,Treatment.Tank,Treament
DL,1,39,Black,DL_1_39,,,
DL,1,40,Black,DL_1_40,,,
DL,1,41,Black,DL_1_41,,,
DL,1,42,Black,DL_1_42,,,
DL,2,1,Yellow,DL_2_1,,,
DL,2,2,Yellow,DL_2_2,,,
DL,2,3,Yellow,DL_2_3,,,
DL,2,4,Yellow,DL_2_4,,,
DL,2,5,Yellow,DL_2_5,,,
DL,2,6,Yellow,DL_2_6,,,
DL,2,7,Yellow,DL_2_7,,,
DL,2,8,Yellow,DL_2_8,,,
DL,2,9,Yellow,DL_2_9,,,
DL,2,10,Yellow,DL_2_10,,,
DL,2,11,Yellow,DL_2_11,,,
DL,2,12,Yellow,DL_2_12,,,
DL,2,13,Yellow,DL_2_13,,,
DL,2,14,Yellow,DL_2_14,,,
DL,2,15,Yellow,DL_2_15,,,
DL,2,16,Yellow,DL_2_16,,,
DL,2,17,Yellow,DL_2_17,,,
DL,2,18,Yellow,DL_2_18,,,
DL,2,19,Yellow,DL_2_19,,,
DL,2,20,Yellow,DL_2_20,,,
DL,2,21,Yellow,DL_2_21,,,
DL,2,22,Yellow,DL_2_22,,,
DL,2,23,Yellow,DL_2_23,,,
DL,2,24,Yellow,DL_2_24,,,
DL,2,25,Yellow,DL_2_25,,,
DL,2,26,Yellow,DL_2_26,,,
DL,2,27,Yellow,DL_2_27,,,
DL,2,28,Yellow,DL_2_28,,,
DL,2,29,Yellow,DL_2_29,,,
DL,2,30,Yellow,DL_2_30,,,
DL,2,31,Yellow,DL_2_31,,,
DL,2,32,Yellow,DL_2_32,,,
DL,2,33,Yellow,DL_2_33,,,
DL,2,34,Yellow,DL_2_34,,,
DL,2,35,Yellow,DL_2_35,,,
DL,2,36,Yellow,DL_2_36,,,
DL,2,37,Yellow,DL_2_37,,,
DL,2,38,Yellow,DL_2_38,,,
DL,2,39,Yellow,DL_2_39,,,
DL,2,40,Yellow,DL_2_40,,,
DL,2,41,Yellow,DL_2_41,,,
